most abundant mass,monoisotopic mass,probability -1Da,probability 0Da,probability +1Da
25131.6611744139,25116.622879882,0.148260211800303,0.783661119515885,0.0590015128593041
46404.1661527564,46376.0947337646,0.294444444444444,0.469444444444444,0.197222222222222
30479.7986116225,30461.7516768261,0.24375,0.525,0.208333333333333
18143.8802747684,18132.8531219343,0.0210526315789474,0.778947368421053,0.194736842105263
47685.9394460003,47656.8658475987,0.236111111111111,0.644444444444444,0.0888888888888889
36879.7240087257,36857.6676152426,0.237980769230769,0.485576923076923,0.189903846153846
49456.2190069357,49426.1428403588,0.317241379310345,0.458620689655172,0.117241379310345
25975.7000862209,25959.6605569455,0.0769230769230769,0.579606440071556,0.338103756708408
11892.7139695294,11885.6965887372,0.0187667560321716,0.910634495084897,0.0697050938337802
30437.1110937046,30419.0642317986,0.267634854771784,0.533195020746888,0.176348547717842
21408.8131455979,21395.781114193,0.0164520743919886,0.506437768240343,0.475679542203147
27899.4290409511,27882.3865650108,0.122262773722628,0.658759124087591,0.211678832116788
8668.62188326876,8663.60948661242,0.00526711813393529,0.932279909706546,0.0624529721595184
36587.5098131232,36565.4536189018,0.305687203791469,0.545023696682464,0.0687203791469194
25568.1611535552,25553.1221903763,0.363047001620746,0.536466774716369,0.0761750405186386
32592.2940703587,32572.2441404188,0.105263157894737,0.582995951417004,0.307692307692308
46756.0047907378,46726.9327828705,0.111764705882353,0.455882352941176,0.4
35903.7632771793,35881.7075492067,0.271153846153846,0.511538461538461,0.2
40029.4371378086,40005.3754574117,0.283372365339578,0.480093676814988,0.199063231850117
45373.0049631789,45344.9346805714,0.168831168831169,0.550649350649351,0.257142857142857
11730.141177081,11723.1239875463,0.0127877237851662,0.849104859335038,0.137254901960784
25959.0533901026,25943.0138845683,0.0960144927536232,0.565217391304348,0.333333333333333
45393.4914900586,45365.4211848741,0.174603174603175,0.558201058201058,0.246031746031746
41738.9375244575,41712.8725023876,0.188034188034188,0.50997150997151,0.262108262108262
10730.8307246717,10724.8152217344,0.0595581171950048,0.939000960614793,0.00048030739673391
25154.9604640502,25139.9221338276,0.15210843373494,0.783132530120482,0.0557228915662651
31890.8965002078,31871.8471222299,0.161504424778761,0.801991150442478,0.0254424778761062
9318.90635835095,9313.89324086742,0.124275062137531,0.874896437448219,0
50301.3462264886,50270.2686695875,0.106796116504854,0.576051779935275,0.268608414239482
46154.8645199438,46126.7933756932,0.292035398230089,0.572271386430678,0.109144542772861
27159.7034515517,27143.6622336842,0.278571428571429,0.626785714285714,0.0839285714285714
19297.0528158268,19286.0239333101,0.224195338512764,0.612652608213097,0.159822419533851
16871.2456457912,16861.2205489589,0.0515463917525773,0.888472352389878,0.0571696344892221
20629.6616623379,20617.6308329819,0.245837414299706,0.745347698334966,0.00489715964740451
51564.9002804428,51532.8201683382,0.321678321678322,0.365967365967366,0.265734265734266
37534.7714430703,37511.7138041356,0.106094808126411,0.656884875846501,0.209932279909707
18090.3772639657,18079.3501913826,0.0176715176715177,0.741164241164241,0.235966735966736
36143.1028129311,36121.0469217522,0.204954954954955,0.621621621621622,0.144144144144144
35304.2860969085,35283.2315686203,0.306020066889632,0.429765886287625,0.130434782608696
49203.9788520196,49173.9030876073,0.223241590214067,0.587155963302752,0.137614678899083
20086.1920571149,20074.161949393,0.0807228915662651,0.825301204819277,0.091566265060241
37807.5394492461,37784.4813400277,0.137214137214137,0.702702702702703,0.135135135135135
17232.2147072778,17222.1890887675,0.164522058823529,0.822610294117647,0.0119485294117647
24635.6084758473,24620.5709411876,0.0818414322250639,0.763427109974425,0.150895140664962
29099.2231509656,29081.1785735473,0.0939226519337017,0.578268876611418,0.313075506445672
52220.7329955084,52188.6521779735,0.163763066202091,0.56794425087108,0.247386759581882
37193.9827492061,37170.9256978307,0.089041095890411,0.513698630136986,0.365296803652968
12786.5911642681,12779.5727318808,0.237683664649957,0.68971477960242,0.0708729472774417
46411.4346229337,46383.3631959317,0.28808864265928,0.473684210526316,0.199445983379501
23338.8775713119,23324.8422705046,0.110606060606061,0.812121212121212,0.0727272727272727
33869.3942327742,33848.3423198578,0.148471615720524,0.462882096069869,0.362445414847162
40875.879702224,40850.8166031744,0.12755905511811,0.689763779527559,0.174803149606299
32555.5917041765,32535.541828216,0.101214574898785,0.574898785425101,0.319838056680162
24410.9188074112,24395.8816169395,0.0364583333333333,0.640625,0.315972222222222
33246.0633625443,33226.0124710831,0.213973799126638,0.692139737991266,0.0851528384279476
11625.708985054,11618.6919183778,0.00987654320987654,0.778600823045267,0.210699588477366
52190.6664718115,52158.5856866169,0.170731707317073,0.554006968641115,0.247386759581882
44238.1975709233,44211.1293511656,0.217125382262997,0.584097859327217,0.174311926605505
27396.2068145484,27379.1650839117,0.149012567324955,0.563734290843806,0.278276481149013
35715.2154460821,35693.1598466808,0.320512820512821,0.423076923076923,0.241987179487179
29129.4831615479,29111.4385324596,0.0864864864864865,0.589189189189189,0.317117117117117
10833.6418426135,10827.6262157764,0.0821446138711264,0.916871618298082,0
35238.2927916011,35217.2383835986,0.305882352941176,0.436974789915966,0.104201680672269
40121.343257681,40097.2814314071,0.196868008948546,0.41834451901566,0.351230425055928
35407.519432183,35385.4640426005,0.304075235109718,0.405956112852665,0.184952978056426
11455.3600298291,11448.3431635586,0.125811688311688,0.673701298701299,0.199675324675325
42194.1023205278,42168.0364486897,0.240909090909091,0.511363636363636,0.225
15685.1879529804,15676.1648061676,0.188501413760603,0.803958529688973,0.0056550424128181
32572.6695424933,32552.6196414159,0.103658536585366,0.579268292682927,0.313008130081301
